tab:10secMeasurement
garbage,shit,counts,time,trash,crap,piss
2,115815,9,10000000,65,128,0
2,115967,13,10000000,65,128,0
2,116120,10,10000000,65,128,0
2,116272,14,10000000,65,128,0
2,116425,7,10000000,65,128,0
2,116578,14,10000000,65,128,0
2,116730,15,10000000,65,128,0
2,116883,6,10000000,65,128,0
2,117035,4,10000000,65,128,0
2,117188,16,10000000,65,128,0
2,117341,13,10000000,65,128,0
2,117493,14,10000000,65,128,0
2,117646,8,10000000,65,128,0
2,117798,14,10000000,65,128,0
2,117951,17,10000000,65,128,0
2,118104,11,10000000,65,128,0
2,118256,12,10000000,65,128,0
2,118409,11,10000000,65,128,0
2,118561,14,10000000,65,128,0
2,118714,9,10000000,65,128,0
2,118866,15,10000000,65,128,0
2,119019,13,10000000,65,128,0
2,119172,11,10000000,65,128,0
2,119324,16,10000000,65,128,0
2,119477,16,10000000,65,128,0
2,119629,14,10000000,65,128,0
2,119782,9,10000000,65,128,0
2,119935,8,10000000,65,128,0
2,120087,11,10000000,65,128,0
2,120240,11,10000000,65,128,0
2,120392,12,10000000,65,128,0
2,120545,6,10000000,65,128,0
2,120697,14,10000000,65,128,0
2,120850,13,10000000,65,128,0
2,121003,18,10000000,65,128,0
2,121155,19,10000000,65,128,0
2,121308,14,10000000,65,128,0
2,121460,8,10000000,65,128,0
2,121613,7,10000000,65,128,0
2,121766,13,10000000,65,128,0
2,121918,8,10000000,65,128,0
2,122071,10,10000000,65,128,0
2,122223,13,10000000,65,128,0
2,122376,16,10000000,65,128,0
2,122529,8,10000000,65,128,0
2,122681,6,10000000,65,128,0
2,122834,11,10000000,65,128,0
2,122986,9,10000000,65,128,0
2,123139,7,10000000,65,128,0
2,123292,14,10000000,65,128,0
2,123444,8,10000000,65,128,0
2,123597,8,10000000,65,128,0
