tab:1secMeasurement
garbage,trash,count,time,shit,crap,piss
2,3510,1,1000000,65,128,0
2,3525,1,1000000,65,128,0
2,3541,1,1000000,65,128,0
2,3556,1,1000000,65,128,0
2,3571,1,1000000,65,128,0
2,3586,2,1000000,65,128,0
2,3602,1,1000000,65,128,0
2,3617,1,1000000,65,128,0
2,3632,1,1000000,65,128,0
2,3647,1,1000000,65,128,0
2,3663,1,1000000,65,128,0
2,3678,1,1000000,65,128,0
2,3693,1,1000000,65,128,0
2,3708,2,1000000,65,128,0
2,3724,2,1000000,65,128,0
2,3739,0,1000000,65,128,0
2,3754,3,1000000,65,128,0
2,3769,1,1000000,65,128,0
2,3785,0,1000000,65,128,0
2,3800,2,1000000,65,128,0
2,3815,2,1000000,65,128,0
2,3830,2,1000000,65,128,0
2,3846,1,1000000,65,128,0
2,3861,0,1000000,65,128,0
2,3876,0,1000000,65,128,0
2,3891,1,1000000,65,128,0
2,3907,0,1000000,65,128,0
2,3922,1,1000000,65,128,0
2,3937,2,1000000,65,128,0
2,3952,1,1000000,65,128,0
2,3968,0,1000000,65,128,0
2,3983,1,1000000,65,128,0
2,3998,0,1000000,65,128,0
2,4014,1,1000000,65,128,0
2,4029,3,1000000,65,128,0
2,4044,0,1000000,65,128,0
2,4059,1,1000000,65,128,0
2,4075,5,1000000,65,128,0
2,4090,1,1000000,65,128,0
2,4105,1,1000000,65,128,0
2,4120,1,1000000,65,128,0
2,4136,1,1000000,65,128,0
2,4151,1,1000000,65,128,0
2,4166,1,1000000,65,128,0
2,4181,1,1000000,65,128,0
2,4197,1,1000000,65,128,0
2,4212,1,1000000,65,128,0
2,4227,2,1000000,65,128,0
2,4242,0,1000000,65,128,0
2,4258,0,1000000,65,128,0
2,4273,0,1000000,65,128,0
2,4288,1,1000000,65,128,0
2,4303,0,1000000,65,128,0
2,4319,0,1000000,65,128,0
2,4334,1,1000000,65,128,0
2,4349,1,1000000,65,128,0
2,4364,0,1000000,65,128,0
2,4380,0,1000000,65,128,0
2,4395,0,1000000,65,128,0
2,4410,2,1000000,65,128,0
2,4426,1,1000000,65,128,0
2,4441,0,1000000,65,128,0
2,4456,1,1000000,65,128,0
2,4471,0,1000000,65,128,0
2,4487,1,1000000,65,128,0
2,4502,1,1000000,65,128,0
2,4517,0,1000000,65,128,0
2,4532,2,1000000,65,128,0
2,4548,1,1000000,65,128,0
2,4563,1,1000000,65,128,0
2,4578,0,1000000,65,128,0
2,4593,1,1000000,65,128,0
2,4609,0,1000000,65,128,0
2,4624,3,1000000,65,128,0
2,4639,0,1000000,65,128,0
2,4654,0,1000000,65,128,0
2,4670,2,1000000,65,128,0
2,4685,0,1000000,65,128,0
2,4700,1,1000000,65,128,0
2,4715,1,1000000,65,128,0
2,4731,1,1000000,65,128,0
2,4746,1,1000000,65,128,0
2,4761,0,1000000,65,128,0
2,4777,1,1000000,65,128,0
2,4792,1,1000000,65,128,0
2,4807,2,1000000,65,128,0
2,4822,0,1000000,65,128,0
2,4837,2,1000000,65,128,0
2,4853,2,1000000,65,128,0
2,4868,2,1000000,65,128,0
2,4883,1,1000000,65,128,0
2,4899,2,1000000,65,128,0
2,4914,2,1000000,65,128,0
2,4929,3,1000000,65,128,0
2,4944,1,1000000,65,128,0
2,4960,1,1000000,65,128,0
2,4975,0,1000000,65,128,0
2,4990,2,1000000,65,128,0
2,5005,2,1000000,65,128,0
2,5021,1,1000000,65,128,0
2,5036,1,1000000,65,128,0
2,5051,3,1000000,65,128,0
2,5066,2,1000000,65,128,0
2,5082,2,1000000,65,128,0
2,5097,2,1000000,65,128,0
2,5112,0,1000000,65,128,0
2,5127,1,1000000,65,128,0
2,5143,1,1000000,65,128,0
2,5158,1,1000000,65,128,0
2,5173,1,1000000,65,128,0
2,5188,0,1000000,65,128,0
2,5204,2,1000000,65,128,0
2,5219,1,1000000,65,128,0
2,5234,1,1000000,65,128,0
2,5250,1,1000000,65,128,0
2,5265,1,1000000,65,128,0
2,5280,0,1000000,65,128,0
2,5295,0,1000000,65,128,0
2,5311,2,1000000,65,128,0
2,5326,2,1000000,65,128,0
2,5341,0,1000000,65,128,0
2,5356,1,1000000,65,128,0
2,5372,0,1000000,65,128,0
2,5387,1,1000000,65,128,0
2,5402,1,1000000,65,128,0
2,5417,0,1000000,65,128,0
2,5433,0,1000000,65,128,0
2,5448,2,1000000,65,128,0
2,5463,0,1000000,65,128,0
2,5478,0,1000000,65,128,0
2,5494,1,1000000,65,128,0
2,5509,1,1000000,65,128,0
2,5524,3,1000000,65,128,0
2,5539,0,1000000,65,128,0
2,5555,1,1000000,65,128,0
2,5570,2,1000000,65,128,0
2,5585,0,1000000,65,128,0
2,5600,1,1000000,65,128,0
2,5616,0,1000000,65,128,0
2,5631,2,1000000,65,128,0
2,5646,4,1000000,65,128,0
2,5662,3,1000000,65,128,0
2,5677,0,1000000,65,128,0
2,5692,2,1000000,65,128,0
2,5707,1,1000000,65,128,0
2,5723,0,1000000,65,128,0
2,5738,2,1000000,65,128,0
2,5753,3,1000000,65,128,0
2,5768,0,1000000,65,128,0
2,5784,1,1000000,65,128,0
2,5799,0,1000000,65,128,0
2,5814,1,1000000,65,128,0
2,5829,0,1000000,65,128,0
2,5845,0,1000000,65,128,0
2,5860,1,1000000,65,128,0
2,5875,1,1000000,65,128,0
2,5890,2,1000000,65,128,0
2,5906,0,1000000,65,128,0
2,5921,2,1000000,65,128,0
2,5936,1,1000000,65,128,0
2,5951,0,1000000,65,128,0
2,5967,2,1000000,65,128,0
2,5982,2,1000000,65,128,0
2,5997,0,1000000,65,128,0
2,6012,2,1000000,65,128,0
2,6028,1,1000000,65,128,0
2,6043,1,1000000,65,128,0
2,6058,0,1000000,65,128,0
2,6073,0,1000000,65,128,0
2,6089,3,1000000,65,128,0
2,6104,1,1000000,65,128,0
2,6119,1,1000000,65,128,0
2,6135,2,1000000,65,128,0
2,6150,3,1000000,65,128,0
2,6165,0,1000000,65,128,0
2,6180,1,1000000,65,128,0
2,6196,1,1000000,65,128,0
2,6211,1,1000000,65,128,0
2,6226,1,1000000,65,128,0
2,6241,2,1000000,65,128,0
2,6257,2,1000000,65,128,0
2,6272,1,1000000,65,128,0
2,6287,6,1000000,65,128,0
2,6302,1,1000000,65,128,0
2,6318,2,1000000,65,128,0
2,6333,1,1000000,65,128,0
2,6348,0,1000000,65,128,0
2,6363,1,1000000,65,128,0
2,6379,1,1000000,65,128,0
2,6394,1,1000000,65,128,0
2,6409,2,1000000,65,128,0
2,6424,0,1000000,65,128,0
2,6440,1,1000000,65,128,0
2,6455,2,1000000,65,128,0
2,6470,2,1000000,65,128,0
2,6485,0,1000000,65,128,0
2,6501,1,1000000,65,128,0
2,6516,1,1000000,65,128,0
2,6531,0,1000000,65,128,0
2,6547,0,1000000,65,128,0
2,6562,1,1000000,65,128,0
2,6577,2,1000000,65,128,0
2,6592,0,1000000,65,128,0
2,6608,1,1000000,65,128,0
2,6623,0,1000000,65,128,0
2,6638,0,1000000,65,128,0
2,6653,1,1000000,65,128,0
2,6669,1,1000000,65,128,0
2,6684,2,1000000,65,128,0
2,6699,1,1000000,65,128,0
2,6714,1,1000000,65,128,0
2,6730,0,1000000,65,128,0
2,6745,1,1000000,65,128,0
2,6760,0,1000000,65,128,0
2,6775,1,1000000,65,128,0
2,6791,1,1000000,65,128,0
2,6806,1,1000000,65,128,0
2,6821,1,1000000,65,128,0
2,6836,1,1000000,65,128,0
2,6852,3,1000000,65,128,0
2,6867,2,1000000,65,128,0
2,6882,0,1000000,65,128,0
2,6897,1,1000000,65,128,0
2,6913,3,1000000,65,128,0
2,6928,0,1000000,65,128,0
2,6943,0,1000000,65,128,0
2,6958,0,1000000,65,128,0
2,6974,1,1000000,65,128,0
2,6989,2,1000000,65,128,0
2,7004,2,1000000,65,128,0
2,7020,1,1000000,65,128,0
2,7035,1,1000000,65,128,0
2,7050,1,1000000,65,128,0
2,7065,1,1000000,65,128,0
2,7081,1,1000000,65,128,0
2,7096,0,1000000,65,128,0
2,7111,1,1000000,65,128,0
2,7126,1,1000000,65,128,0
2,7142,0,1000000,65,128,0
2,7157,2,1000000,65,128,0
2,7172,1,1000000,65,128,0
2,7187,0,1000000,65,128,0
2,7203,1,1000000,65,128,0
2,7218,0,1000000,65,128,0
2,7233,1,1000000,65,128,0
2,7248,0,1000000,65,128,0
2,7264,4,1000000,65,128,0
2,7279,0,1000000,65,128,0
2,7294,3,1000000,65,128,0
2,7309,1,1000000,65,128,0
2,7325,2,1000000,65,128,0
2,7340,0,1000000,65,128,0
2,7355,0,1000000,65,128,0
2,7370,2,1000000,65,128,0
2,7386,2,1000000,65,128,0
2,7401,2,1000000,65,128,0
2,7416,0,1000000,65,128,0
